city,时间,天气,温度,风力
city:北京明城墙遗址公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:北京市规划展览馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:明城墙遗址公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:天坛公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:南锣鼓巷,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:北京国子监,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:北京孔庙,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:月坛公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:中国地质博物馆,今天 (04-12),阴转晴,6/20℃,北风 3-5级
,,,,
city:北海公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:北京海洋馆,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:景山公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:什刹海,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:首都博物馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:元大都城垣遗址公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:中山公园,今天 (04-12),阴转晴,6/20℃,北风 3-5级
,,,,
city:恭王府,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:故宫博物院,今天 (04-12),阴转晴,6/20℃,北风 3-5级
,,,,
city:北京湖广会馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:老舍茶馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:百望山森林公园,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:北京鹫峰国家森林公园,今天 (04-12),阴转晴,4/19℃,西北风 3-5级
,,,,
city:北京天文馆,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:锦绣大地农业观光园区,今天 (04-12),阴转晴,5/19℃,北风 3-5级
,,,,
city:北京动物园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:北京植物园,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:香山公园,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:玉渊潭公园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:圆明园遗址公园,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:中国科学院植物研究所北京植物园,今天 (04-12),阴转晴,5/19℃,北风 3-5级
,,,,
city:中央电视塔,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:紫竹院公园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:颐和园,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:红领巾公园,今天 (04-12),阴转晴,8/20℃,北风 3-5级
,,,,
city:日坛公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:团结湖公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:北京欢乐谷,今天 (04-12),阴转晴,8/20℃,北风 3-5级
,,,,
city:朝阳公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:蟹岛绿色生态度假村,今天 (04-12),小雨转晴,7/20℃,北风 3-5级
,,,,
city:中国紫檀博物馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:中华民族园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:奥林匹克森林公园,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:北京奥林匹克公园,今天 (04-12),阴转晴,6/20℃,北风 3-5级
,,,,
city:国家体育场,今天 (04-12),阴转晴,6/20℃,北风 3-5级
,,,,
city:汉石桥湿地自然保护区,今天 (04-12),小雨转晴,4/19℃,北风 3-5级
,,,,
city:北京生存岛实践基地,今天 (04-12),小雨转晴,2/19℃,北风 微风
,,,,
city:黄花城水长城,今天 (04-12),小雨转晴,0/18℃,西北风 3-5级
,,,,
city:响水湖长城自然风景区,今天 (04-12),小雨转晴,0/18℃,西北风 3-5级
,,,,
city:幽谷神潭,今天 (04-12),小雨转晴,0/15℃,北风 微风
,,,,
city:云蒙山国家森林公园,今天 (04-12),小雨转晴,0/15℃,北风 微风
,,,,
city:红螺寺,今天 (04-12),小雨转晴,2/19℃,西北风 微风
,,,,
city:青龙峡,今天 (04-12),小雨转晴,2/17℃,北风 微风
,,,,
city:雁栖湖,今天 (04-12),小雨转晴,2/19℃,北风 微风
,,,,
city:慕田峪长城,今天 (04-12),小雨转晴,0/18℃,西北风 微风
,,,,
city:韩美林艺术馆,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:中国民兵武器装备陈列馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:沟崖自然风景区,今天 (04-12),小雨转晴,3/19℃,北风 3-5级
,,,,
city:蟒山国家森林公园,今天 (04-12),阴转晴,4/18℃,北风 3-5级
,,,,
city:十三陵明皇蜡像宫,今天 (04-12),阴转晴,4/19℃,北风 3-5级
,,,,
city:居庸关长城,今天 (04-12),小雨转晴,2/16℃,北风 3-5级
,,,,
city:龙脉温泉度假村,今天 (04-12),阴转晴,5/20℃,西北风 3-5级
,,,,
city:天龙源温泉家园,今天 (04-12),阴转晴,4/19℃,北风 3-5级
,,,,
city:温都水城,今天 (04-12),阴转晴,6/19℃,西北风 3-5级
,,,,
city:银山塔林风景区,今天 (04-12),阴转晴,2/17℃,西北风 3-5级
,,,,
city:中国航空博物馆,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:明十三陵,今天 (04-12),阴转晴,4/19℃,北风 3-5级
,,,,
city:八达岭温泉度假村,今天 (04-12),小雨转晴,-2/16℃,北风 3-5级
,,,,
city:八达岭野生动物世界,今天 (04-12),小雨转晴,0/15℃,北风 3-5级
,,,,
city:北京八达岭国家森林公园,今天 (04-12),小雨转晴,0/15℃,北风 3-5级
,,,,
city:八达岭水关长城,今天 (04-12),小雨转晴,0/15℃,北风 3-5级
,,,,
city:龙庆峡风景区,今天 (04-12),小雨转晴,-4/13℃,北风 3-5级
,,,,
city:延庆硅化木国家地质公园,今天 (04-12),小雨转晴,-3/17℃,西北风 3-5级
,,,,
city:八达岭长城,今天 (04-12),小雨转晴,0/14℃,北风 3-5级
,,,,
city:八达岭古长城景区,今天 (04-12),小雨转晴,0/15℃,北风 3-5级
,,,,
city:大观园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:青龙湖公园,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:中国人民抗日战争纪念雕塑园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:北宫森林公园,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:北京南宫旅游景区,今天 (04-12),阴转晴,6/19℃,北风 3-5级
,,,,
city:戒台寺,今天 (04-12),阴转晴,4/18℃,西北风 3-5级
,,,,
city:龙潭公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:世界公园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:陶然亭公园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:中国人民抗日战争纪念馆,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:八大处公园,今天 (04-12),阴转晴,5/18℃,西北风 3-5级
,,,,
city:北京石景山游乐园,今天 (04-12),阴转晴,5/19℃,北风 3-5级
,,,,
city:北京南海子麋鹿苑博物馆,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:中华文化园,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:北京野生动物园,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:韩村河旅游景村,今天 (04-12),阴转晴,5/20℃,北风 3-5级
,,,,
city:上方山国家森林公园,今天 (04-12),阴转晴,3/18℃,北风 微风
,,,,
city:仙栖洞,今天 (04-12),阴转晴,1/17℃,北风 微风
,,,,
city:圣莲山风景区,今天 (04-12),阴转晴,-1/15℃,西北风 微风
,,,,
city:十渡自然风景区,今天 (04-12),阴转晴,0/19℃,北风 微风
,,,,
city:石花洞风景区,今天 (04-12),阴转晴,3/18℃,西北风 微风
,,,,
city:云居寺,今天 (04-12),阴转晴,3/18℃,北风 微风
,,,,
city:周口店遗址,今天 (04-12),阴转晴,4/19℃,北风 微风
,,,,
city:白龙潭风景区,今天 (04-12),小雨转晴,2/17℃,北风 3-5级
,,,,
city:清凉谷风景区,今天 (04-12),小雨转晴,-2/18℃,北风 微风
,,,,
city:首云国家矿山公园,今天 (04-12),小雨转晴,3/17℃,北风 3-5级
,,,,
city:云峰山自然风景区,今天 (04-12),小雨转晴,1/16℃,北风 3-5级
,,,,
city:北京张裕爱斐堡国际酒庄,今天 (04-12),小雨转晴,3/18℃,北风 3-5级
,,,,
city:黑龙潭自然风景区,今天 (04-12),小雨转晴,1/17℃,北风 微风
,,,,
city:桃源仙谷,今天 (04-12),小雨转晴,1/17℃,北风 微风
,,,,
city:张裕爱斐堡国际酒庄,今天 (04-12),小雨转晴,3/18℃,北风 3-5级
,,,,
city:黄芩仙谷,今天 (04-12),小雨转晴,0/14℃,西北风 3-5级
,,,,
city:京西十八潭,今天 (04-12),阴转晴,0/17℃,西北风 3-5级
,,,,
city:妙峰山风景名胜区,今天 (04-12),阴转晴,0/13℃,西北风 3-5级
,,,,
city:潭柘寺,今天 (04-12),阴转晴,3/17℃,西北风 3-5级
,,,,
city:丫髻山景区,今天 (04-12),小雨转晴,3/17℃,北风 3-5级
,,,,
city:金海湖,今天 (04-12),小雨转晴,2/17℃,北风 微风
,,,,
city:京东大溶洞旅游区,今天 (04-12),小雨转晴,3/18℃,北风 3-5级
,,,,
city:京东大峡谷,今天 (04-12),小雨转晴,2/16℃,北风 3-5级
,,,,
city:京东石林峡风景区,今天 (04-12),小雨转晴,2/17℃,北风 3-5级
,,,,
city:青龙山旅游区,今天 (04-12),小雨转晴,4/18℃,北风 3-5级
,,,,
city:湖广会馆大戏楼,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:太平洋汉海海底世界,今天 (04-12),阴转晴,7/19℃,北风 3-5级
,,,,
city:凤凰岭自然风景区公园,今天 (04-12),阴转晴,3/19℃,西北风 微风
,,,,
city:北京中华民族博物院,今天 (04-12),阴转晴,7/20℃,北风 3-5级
,,,,
city:棋盘山景区,今天 (04-12),阴转晴,0/17℃,西北风 3-5级
,,,,
city:小汤山科技农业示范园,今天 (04-12),阴转晴,5/19℃,西北风 3-5级
,,,,
city:北京市古崖居风景名胜区,今天 (04-12),小雨转晴,-1/14℃,西北风 3-5级
,,,,
city:松山森林景区,今天 (04-12),小雨转晴,-3/14℃,北风 3-5级
,,,,
city:京辉高尔夫俱乐部,今天 (04-12),阴转晴,4/18℃,西北风 3-5级
,,,,
city:司马台长城游览区,今天 (04-12),小雨转晴,0/15℃,北风 微风
