"rank","name","score","year","country","type"
"1","肖申克的救赎","9.7","1994","美国","犯罪 剧情"
"2","霸王别姬","9.6","1993","中国大陆 中国香港","剧情 爱情 同性"
"3","阿甘正传","9.5","1994","美国","剧情 爱情"
"4","这个杀手不太冷","9.4","1994","法国 美国","剧情 动作 犯罪"
"5","泰坦尼克号","9.4","1997","美国 墨西哥 澳大利亚 加拿大","剧情 爱情 灾难"
"6","美丽人生","9.6","1997","意大利","剧情 喜剧 爱情 战争"
"7","千与千寻","9.4","2001","日本","剧情 动画 奇幻"
"8","辛德勒的名单","9.5","1993","美国","剧情 历史 战争"
"9","盗梦空间","9.3","2010","美国 英国","剧情 科幻 悬疑 冒险"
"10","忠犬八公的故事","9.4","2009","美国 英国","剧情"
"11","星际穿越","9.3","2014","美国 英国 加拿大","剧情 科幻 冒险"
"12","楚门的世界","9.3","1998","美国","剧情 科幻"
"13","海上钢琴师","9.3","1998","意大利","剧情 音乐"
"14","三傻大闹宝莱坞","9.2","2009","印度","剧情 喜剧 爱情 歌舞"
"15","机器人总动员","9.3","2008","美国","科幻 动画 冒险"
"16","放牛班的春天","9.3","2004","法国 瑞士 德国","剧情 喜剧 音乐"
"17","无间道","9.3","2002","中国香港","剧情 犯罪 惊悚"
"18","疯狂动物城","9.2","2016","美国","喜剧 动画 冒险"
"19","大话西游之大圣娶亲","9.2","1995","中国香港 中国大陆","喜剧 爱情 奇幻 古装"
"20","熔炉","9.3","2011","韩国","剧情"
"21","教父","9.3","1972","美国","剧情 犯罪"
"22","当幸福来敲门","9.2","2006","美国","剧情 传记 家庭"
"23","控方证人","9.6","1957","美国","剧情 犯罪 悬疑"
"24","龙猫","9.2","1988","日本","动画 奇幻 冒险"
"25","怦然心动","9.1","2010","美国","剧情 喜剧 爱情"
"26","触不可及","9.3","2011","法国","剧情 喜剧"
"27","末代皇帝","9.3","1987","英国 意大利 中国大陆 法国","剧情 传记 历史"
"28","蝙蝠侠：黑暗骑士","9.2","2008","美国 英国","剧情 动作 科幻 犯罪 惊悚"
"29","寻梦环游记","9.1","2017","美国","喜剧 动画 奇幻 音乐"
"30","活着","9.3","1994","中国大陆 中国香港","剧情 历史 家庭"
"31","指环王3：王者无敌","9.3","2003","美国 新西兰","剧情 动作 奇幻 冒险"
"32","哈利·波特与魔法石","9.1","2001","美国 英国","奇幻 冒险"
"33","乱世佳人","9.3","1939","美国","剧情 历史 爱情 战争"
"34","素媛","9.3","2013","韩国","剧情"
"35","飞屋环游记","9.1","2009","美国","剧情 喜剧 动画 冒险"
"36","何以为家","9.1","2018","黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国","剧情"
"37","摔跤吧！爸爸","9.0","2016","印度","剧情 传记 运动 家庭"
"38","十二怒汉","9.4","1957","美国","剧情"
"39","哈尔的移动城堡","9.1","2004","日本","动画 奇幻 冒险"
"40","我不是药神","9.0","2018","中国大陆","剧情 喜剧"
"41","少年派的奇幻漂流","9.1","2012","美国 中国台湾 英国 加拿大","剧情 奇幻 冒险"
"42","鬼子来了","9.3","2000","中国大陆","剧情 喜剧"
"43","大话西游之月光宝盒","9.0","1995","中国香港 中国大陆","喜剧 爱情 奇幻 古装"
"44","天空之城","9.1","1986","日本","动画 奇幻 冒险"
"45","天堂电影院","9.2","1988","意大利 法国","剧情 爱情"
"46","猫鼠游戏","9.1","2002","美国 加拿大","传记 犯罪 剧情"
"47","闻香识女人","9.1","1992","美国","剧情"
"48","指环王2：双塔奇兵","9.2","2002","美国 新西兰","剧情 动作 奇幻 冒险"
"49","罗马假日","9.1","1953","美国","喜剧 剧情 爱情"
"50","钢琴家","9.2","2002","英国 法国 波兰 德国","剧情 传记 战争 音乐"
"51","让子弹飞","8.9","2010","中国大陆 中国香港","剧情 喜剧 动作 西部"
"52","指环王1：护戒使者","9.1","2001","新西兰 美国","剧情 动作 奇幻 冒险"
"53","辩护人","9.2","2013","韩国","剧情"
"54","大闹天宫","9.4","1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆)","中国大陆","剧情 动画 奇幻 古装"
"55","教父2","9.2","1974","美国","剧情 犯罪"
"56","狮子王","9.1","1994","美国","动画 冒险 歌舞"
"57","死亡诗社","9.1","1989","美国","剧情"
"58","黑客帝国","9.1","1999","美国","动作 科幻"
"59","海蒂和爷爷","9.3","2015","德国 瑞士","剧情 冒险 家庭"
"60","搏击俱乐部","9.0","1999","美国 德国 意大利","剧情 动作 悬疑 惊悚"
"61","绿皮书","8.9","2018","美国 中国大陆","剧情 喜剧 传记 音乐"
"62","饮食男女","9.1","1994","中国台湾 美国","剧情 家庭"
"63","美丽心灵","9.0","2001","美国","传记 剧情"
"64","窃听风暴","9.2","2006","德国","剧情 悬疑"
"65","本杰明·巴顿奇事","9.0","2008","美国","剧情 爱情 奇幻"
"66","情书","8.9","1995","日本","剧情 爱情"
"67","两杆大烟枪","9.1","1998","英国","剧情 喜剧 犯罪"
"68","穿条纹睡衣的男孩","9.1","2008","英国 美国","剧情 战争"
"69","西西里的美丽传说","8.9","2000","意大利 美国","剧情 战争 情色"
"70","看不见的客人","8.8","2016","西班牙","剧情 犯罪 悬疑 惊悚"
"71","飞越疯人院","9.1","1975","美国","剧情"
"72","拯救大兵瑞恩","9.0","1998","美国","剧情 战争"
"73","音乐之声","9.1","1965","美国","剧情 传记 爱情 歌舞"
"74","小鞋子","9.2","1997","伊朗","剧情 儿童 家庭"
"75","阿凡达","8.8","2009","美国","动作 科幻 冒险"
"76","海豚湾","9.3","2009","美国","纪录片"
"77","致命魔术","8.9","2006","英国 美国","剧情 悬疑 惊悚"
"78","沉默的羔羊","8.9","1991","美国","剧情 犯罪 惊悚"
"79","哈利·波特与死亡圣器(下)","8.9","2011","美国 英国","奇幻 冒险"
"80","美国往事","9.2","1984","美国 意大利","犯罪 剧情"
"81","禁闭岛","8.8","2010","美国","剧情 悬疑 惊悚"
"82","蝴蝶效应","8.8","2004","美国 加拿大","剧情 悬疑 科幻 惊悚"
"83","布达佩斯大饭店","8.9","2014","美国 德国 英国","剧情 喜剧 冒险"
"84","心灵捕手","8.9","1997","美国","剧情"
"85","低俗小说","8.9","1994","美国","剧情 喜剧 犯罪"
"86","春光乍泄","9.0","1997","中国香港 日本 韩国","剧情 爱情 同性"
"87","摩登时代","9.3","1936","美国","剧情 喜剧 爱情"
"88","七宗罪","8.8","1995","美国","剧情 犯罪 悬疑 惊悚"
"89","喜剧之王","8.8","1999","中国香港","喜剧 剧情 爱情"
"90","致命ID","8.8","2003","美国","剧情 悬疑 惊悚"
"91","被嫌弃的松子的一生","8.9","2006","日本","剧情 歌舞"
"92","杀人回忆","8.9","2003","韩国","剧情 动作 犯罪 悬疑 惊悚"
"93","加勒比海盗","8.8","2003","美国","动作 冒险 奇幻"
"94","红辣椒","9.0","2006","日本","动画 悬疑 科幻 惊悚"
"95","剪刀手爱德华","8.7","1990","美国","剧情 奇幻 爱情"
"96","狩猎","9.1","2012","丹麦 瑞典","剧情"
"97","请以你的名字呼唤我","8.9","2017","意大利 法国 巴西 美国 荷兰 德国","剧情 爱情 同性"
"98","勇敢的心","8.9","1995","美国","动作 传记 剧情 历史 战争"
"99","7号房的礼物","8.9","2013","韩国","剧情 喜剧 家庭"
"100","功夫","8.7","2004","中国大陆 中国香港","动作 喜剧 犯罪 奇幻"
"101","超脱","8.9","2011","美国","剧情"
"102","断背山","8.8","2005","美国 加拿大","剧情 爱情 同性 家庭"
"103","哈利·波特与阿兹卡班的囚徒","8.9","2004","英国 美国","奇幻 冒险"
"104","天使爱美丽","8.7","2001","法国 德国","剧情 喜剧 爱情"
"105","入殓师","8.9","2008","日本","剧情"
"106","唐伯虎点秋香","8.7","1993","中国香港","喜剧 爱情 古装"
"107","第六感","8.9","1999","美国","剧情 悬疑 惊悚"
"108","幽灵公主","8.9","1997","日本","动画 奇幻 冒险"
"109","重庆森林","8.8","1994","中国香港","剧情 爱情"
"110","小森林 夏秋篇","9.0","2014","日本","剧情"
"111","阳光灿烂的日子","8.8","1994","中国大陆 中国香港","剧情 爱情"
"112","爱在黎明破晓前","8.8","1995","美国 奥地利 瑞士","剧情 爱情"
"113","一一","9.1","2000","中国台湾 日本","剧情 爱情 家庭"
"114","蝙蝠侠：黑暗骑士崛起","8.8","2012","美国 英国","剧情 动作 科幻 犯罪 惊悚"
"115","菊次郎的夏天","8.9","1999","日本","剧情 喜剧"
"116","哈利·波特与密室","8.8","2002","英国 美国","奇幻 冒险"
"117","消失的爱人","8.7","2014","美国","剧情 犯罪 悬疑 惊悚"
"118","超能陆战队","8.7","2014","美国","喜剧 动作 科幻 动画 冒险"
"119","无人知晓","9.1","2004","日本","剧情"
"120","小森林 冬春篇","9.0","2015","日本","剧情"
"121","完美的世界","9.1","1993","美国","剧情 犯罪"
"122","倩女幽魂","8.8","1987","中国香港","爱情 奇幻 武侠 古装"
"123","爱在日落黄昏时","8.9","2004","美国 法国","剧情 爱情"
"124","侧耳倾听","8.9","1995","日本","剧情 爱情 动画"
"125","借东西的小人阿莉埃蒂","8.9","2010","日本","动画 奇幻 冒险"
"126","甜蜜蜜","8.9","1996","中国香港","剧情 爱情"
"127","萤火之森","8.9","2011","日本","剧情 爱情 动画 奇幻"
"128","驯龙高手","8.7","2010","美国","动画 奇幻 冒险"
"129","幸福终点站","8.8","2004","美国","喜剧 剧情 爱情"
"130","玛丽和马克思","8.9","2009","澳大利亚 美国","剧情 喜剧 动画"
"131","时空恋旅人","8.8","2013","英国","喜剧 爱情 奇幻"
"132","大鱼","8.8","2003","美国","剧情 家庭 奇幻 冒险"
"133","怪兽电力公司","8.7","2001","美国","儿童 喜剧 动画 奇幻 冒险"
"134","告白","8.8","2010","日本","剧情 悬疑"
"135","阳光姐妹淘","8.8","2011","韩国","剧情 喜剧"
"136","射雕英雄传之东成西就","8.7","1993","中国香港","喜剧 奇幻 武侠 古装"
"137","神偷奶爸","8.6","2010","美国 法国","喜剧 动画 冒险"
"138","傲慢与偏见","8.7","2005","法国 英国 美国","剧情 爱情"
"139","教父3","9.0","1990","美国","剧情 犯罪"
"140","玩具总动员3","8.9","2010","美国","喜剧 动画 奇幻 冒险"
"141","釜山行","8.6","2016","韩国","动作 惊悚 灾难"
"142","恐怖直播","8.7","2013","韩国","剧情 犯罪 悬疑"
"143","一个叫欧维的男人决定去死","8.9","2015","瑞典","剧情"
"144","哪吒闹海","9.1","1979","中国大陆","冒险 动画 奇幻"
"145","被解救的姜戈","8.8","2012","美国","剧情 动作 西部 冒险"
"146","血战钢锯岭","8.7","2016","澳大利亚 美国","剧情 传记 历史 战争"
"147","未麻的部屋","9.0","1997","日本","动画 奇幻 惊悚"
"148","头号玩家","8.7","2018","美国","动作 科幻 冒险"
"149","我是山姆","9.0","2001","美国","剧情 家庭"
"150","七武士","9.3","1954","日本","动作 冒险 剧情"
"151","寄生虫","8.8","2019","韩国","剧情 喜剧"
"152","喜宴","8.9","1993","中国台湾 美国","剧情 喜剧 爱情 同性 家庭"
"153","新世界","8.9","2013","韩国","剧情 犯罪"
"154","电锯惊魂","8.7","2004","美国","悬疑 惊悚 恐怖"
"155","模仿游戏","8.7","2014","英国 美国","剧情 传记 战争 同性"
"156","哈利·波特与火焰杯","8.7","2005","英国 美国","悬疑 奇幻 冒险"
"157","黑客帝国3：矩阵革命","8.8","2003","美国","动作 科幻"
"158","花样年华","8.7","2000","中国香港","剧情 爱情"
"159","卢旺达饭店","8.9","2004","英国 南非 意大利 美国","剧情 传记 历史 战争"
"160","上帝之城","9.0","2002","巴西 法国","犯罪 剧情"
"161","三块广告牌","8.7","2017","美国 英国","剧情 犯罪"
"162","风之谷","8.9","1984","日本","动画 奇幻 冒险"
"163","疯狂原始人","8.7","2013","美国","喜剧 动画 冒险"
"164","谍影重重3","8.8","2007","美国 德国","动作 悬疑 惊悚"
"165","你的名字。","8.5","2016","日本","剧情 爱情 动画"
"166","英雄本色","8.6","1986","中国香港","剧情 动作 犯罪"
"167","头脑特工队","8.7","2015","美国","喜剧 动画 冒险"
"168","达拉斯买家俱乐部","8.8","2013","美国","剧情 传记 同性"
"169","纵横四海","8.8","1991","中国香港","剧情 喜剧 动作 犯罪"
"170","心迷宫","8.7","2014","中国大陆","剧情 犯罪 悬疑"
"171","岁月神偷","8.7","2010","中国香港 中国大陆","剧情 家庭"
"172","记忆碎片","8.7","2000","美国","犯罪 剧情 悬疑 惊悚"
"173","惊魂记","9.0","1960","美国","悬疑 惊悚 恐怖"
"174","忠犬八公物语","9.2","1987","日本","剧情"
"175","海街日记","8.8","2015","日本","剧情 家庭"
"176","荒蛮故事","8.8","2014","阿根廷 西班牙","剧情 喜剧 犯罪"
"177","九品芝麻官","8.6","1994","中国香港 中国大陆","剧情 喜剧 古装"
"178","爆裂鼓手","8.7","2014","美国","剧情 音乐"
"179","贫民窟的百万富翁","8.6","2008","英国","剧情 爱情"
"180","真爱至上","8.6","2003","英国 美国 法国","喜剧 剧情 爱情"
"181","东邪西毒","8.6","1994","中国香港 中国台湾","剧情 动作 爱情 武侠 古装"
"182","绿里奇迹","8.9","1999","美国","犯罪 剧情 奇幻 悬疑"
"183","小偷家族","8.7","2018","日本","剧情 犯罪 家庭"
"184","爱在午夜降临前","8.8","2013","美国 希腊","剧情 爱情"
"185","无敌破坏王","8.7","2012","美国","喜剧 动画 奇幻 冒险"
"186","黑天鹅","8.6","2010","美国","剧情 惊悚"
"187","冰川时代","8.6","2002","美国","喜剧 动画 冒险"
"188","你看起来好像很好吃","8.9","2010","日本","剧情 动画 儿童"
"189","疯狂的石头","8.5","2006","中国大陆 中国香港","喜剧 犯罪"
"190","萤火虫之墓","8.7","1988","日本","动画 剧情 战争"
"191","色，戒","8.5","2007","中国台湾 中国大陆 美国 中国香港","剧情 爱情 情色"
"192","雨人","8.7","1988","美国","剧情"
"193","恐怖游轮","8.5","2009","英国 澳大利亚","剧情 悬疑 惊悚"
"194","雨中曲","9.1","1952","美国","喜剧 歌舞 爱情"
"195","恋恋笔记本","8.6","2004","美国","剧情 爱情"
"196","魔女宅急便","8.7","1989","日本","动画 奇幻 冒险"
"197","2001太空漫游","8.9","1968","英国 美国","科幻 惊悚 冒险"
"198","城市之光","9.3","1931","美国","喜剧 剧情 爱情"
"199","可可西里","8.8","2004","中国大陆 中国香港","剧情 犯罪"
"200","虎口脱险","8.9","1966","法国 英国","喜剧 战争"
"201","人工智能","8.7","2001","美国 英国","剧情 科幻"
"202","二十二","8.7","2015","中国大陆","纪录片"
"203","初恋这件小事","8.4","2010","泰国","剧情 喜剧 爱情"
"204","遗愿清单","8.7","2007","美国","冒险 喜剧 剧情"
"205","海边的曼彻斯特","8.6","2016","美国","剧情 家庭"
"206","大佛普拉斯","8.7","2017","中国台湾","剧情 喜剧"
"207","奇迹男孩","8.6","2017","美国 中国香港","剧情 儿童 家庭"
"208","罗生门","8.8","1950","日本","剧情 犯罪 悬疑"
"209","终结者2：审判日","8.8","1991","美国 法国","动作 科幻"
"210","牯岭街少年杀人事件","8.9","1991","中国台湾","剧情 犯罪"
"211","房间","8.8","2015","爱尔兰 加拿大 英国 美国","剧情 家庭"
"212","源代码","8.5","2011","美国 加拿大","科幻 悬疑 惊悚"
"213","青蛇","8.6","1993","中国香港 中国大陆","剧情 爱情 奇幻 古装"
"214","无间道2","8.7","2003","中国香港","剧情 犯罪 惊悚"
"215","东京教父","9.0","2003","日本","剧情 喜剧 动画"
"216","新龙门客栈","8.6","1992","中国香港 中国大陆","动作 爱情 武侠 古装"
"217","疯狂的麦克斯4：狂暴之路","8.6","2015","澳大利亚 美国","动作 科幻 冒险"
"218","魂断蓝桥","8.8","1940","美国","剧情 爱情 战争"
"219","波西米亚狂想曲","8.7","2018","英国 美国","剧情 传记 同性 音乐"
"220","无耻混蛋","8.6","2009","德国 美国","剧情 犯罪"
"221","步履不停","8.8","2008","日本","剧情 家庭"
"222","血钻","8.7","2006","美国 德国 英国","剧情 惊悚 冒险"
"223","茶馆","9.5","1982","中国大陆","剧情 历史"
"224","彗星来的那一夜","8.5","2013","美国 英国","科幻 悬疑 惊悚"
"225","战争之王","8.7","2005","法国 德国 美国","剧情 犯罪"
"226","燃情岁月","8.8","1994","美国","剧情 爱情 战争 西部"
"227","千钧一发","8.8","1997","美国","剧情 科幻 惊悚"
"228","黑客帝国2：重装上阵","8.6","2003","美国","动作 科幻"
"229","谍影重重2","8.7","2004","美国 德国","动作 悬疑 惊悚"
"230","崖上的波妞","8.6","2008","日本","动画 奇幻 冒险"
"231","海洋","9.1","2009","法国 瑞士 西班牙 美国 阿联酋 摩纳哥","纪录片"
"232","背靠背，脸对脸","9.5","1994","中国大陆 中国香港","剧情"
"233","阿飞正传","8.5","1990","中国香港","犯罪 剧情 爱情"
"234","小丑","8.7","2019","美国 加拿大","剧情 犯罪 惊悚"
"235","穿越时空的少女","8.6","2006","日本","剧情 爱情 科幻 动画"
"236","谍影重重","8.6","2002","美国 德国 捷克","动作 悬疑 惊悚"
"237","地球上的星星","8.9","2007","印度","剧情 儿童 家庭"
"238","香水","8.5","2006","德国 法国 西班牙 美国 比利时","剧情 犯罪 奇幻"
"239","完美陌生人","8.5","2016","意大利","剧情 喜剧"
"240","再次出发之纽约遇见你","8.6","2013","美国","喜剧 爱情 音乐"
"241","我爱你","9.1","2011","韩国","剧情 爱情"
"242","爱乐之城","8.4","2016","美国","剧情 爱情 歌舞"
"243","朗读者","8.6","2008","美国 德国","剧情 爱情"
"244","火星救援","8.5","2015","英国 美国 匈牙利 约旦","剧情 科幻 冒险"
"245","小萝莉的猴神大叔","8.4","2015","印度","剧情 喜剧 动作"
"246","聚焦","8.8","2015","美国","剧情 传记"
"247","驴得水","8.3","2016","中国大陆","剧情 喜剧"
"248","浪潮","8.7","2008","德国","剧情 惊悚"
"249","猜火车","8.6","1996","英国","剧情 犯罪"
"250","千年女优","8.8","2001","日本","动画 剧情 爱情"
